wrestler;matches
antonio inoki; 0 1 2 3 4 5 6 7 9 10 11 12 13 15 16 19 20 24 25 26 27 30 32 37 39 41 47 48 50 53 63 65 71 75 81 87 91 92 94 95 96 98 99 102 103 109 111 115 122 123 124 131 135 137 138 140 143 145 185 228 245 254 263 266 284 315
seiji sakaguchi; 0 3 8 15 23 99
karl gotch; 0 54
lou thesz; 0 9
johnny powers; 1
strong kobayashi; 2 6
killer karl krupp; 4
kintaro oki; 5 8
andre the giant; 7 12 16 21 35 46 53 72 89 94
billy robinson; 10
willem ruska; 11 13 24
jose estrada; 14
tatsumi fujinami; 14 17 22 28 29 31 34 36 44 53 65 66 68 70 78 79 84 85 90 93 98 99 108 112 116 132 133 134 138 141 142 147 172 177 181 183 187 188 211 220 226 232 238 246 295 308 333 373
ryuma go; 17
tiger jeet singh; 18
umanosuke ueda; 18
hiro matsuda; 19 23
jack brisco; 20
stan hansen; 21 30 32 35 37 38 39 41 46 161 165
el canek; 22 51
masa saito; 23 122 123 124 144
riki choshu; 23 66 68 70 78 79 83 84 85 87 89 91 132 133 135 140 144 145 164 167 187 196 209 229 260 300 305 351 394
dusty rhodes; 25 52
bob backlund; 26 27 38 39
kengo kimura; 28 99 115 116 132 144 308
dynamite kid; 29 40 55 56 61 62 69
ashura hara; 31
gran hamada; 33 49 337
satoru sayama; 33
perro aguayo; 33
baby face; 33
chavo guerrero; 34 36
hulk hogan; 39 60 72 73 75 90 93 95 217 221 226
tiger mask; 40 42 43 44 45 49 51 55 56 57 58 59 61 62 64 67 69 74 76 194 224 363 374 381 392 432 503 776 853 876 903 961 1008 1021 1146 1176 1182 1215 1260 1312 1495 1648 1677 1708 1841 1851 1855 1859 1861
villano iii; 42
scorpion; 43
el solar; 44 45
el solitario; 44
kim duk; 47 52
rusher kimura; 48 50 52 63 65 81
dick murdoch; 52 77 88 109
rene goulet; 53
yoshiaki fujiwara; 54 101 103 144 263
steve wright; 57
black tiger; 58 59 156 240 249 269 287
abdullah the butcher; 60 77
kuniaki kobayashi; 64 67 74 190
animal hamaguchi; 65
akira maeda; 71 73 83 84 100 101 108 113 120 121
fishman; 76
nobuhiko takada; 80 100 102 110 118 120 121 278 286 294
athol foley; 80
the cobra; 82 104
davey boy smith; 82
yoshiaki yatsu; 84
inoki; 86 117 125 128 128 162 218 267
maeda; 86 105 117 126
fujiwara; 86 105 117 126 889
choshu; 86 125 128 128 154 215 218 262 267 272 319 890
yatsu; 86
hamaguchi; 86
adrian adonis; 88
bruiser brody; 92 96 111 112
tony st. clair; 97
keiji mutoh; 97 115 120 121 166 182 188 196 223 225 237 258 264 268 270 271 273 278 286 308 326 328 336 341 342 348 360 423 486
keiichi yamada; 102 127 129
osamu kido; 102 172 213
shiro koshinaka; 104 110 118 120 121 129 130 188 191 198 203 230 232 282 325 346 409
fujinami; 105 125 128 136 215 218 324 364 397
kimura; 105 114 128 136 201 202 214
hoshino; 105
takada; 105 114 126 293
njpw; 106 107
uwf - 5; 106 107
5 elimination tag match; 106
5 gauntlet challenge; 107
don nakaya nelson; 113
koshinaka; 114 136 201 202 214 297 335 402
kido; 114 117 215
kevin von erich; 115
shinya hashimoto; 119 148 149 164 216 223 227 231 233 234 235 238 246 256 261 268 271 285 294 305 331 332
masahiro chono; 119 158 166 181 182 198 199 200 207 210 227 231 237 248 260 282 300 325 328 333 340 348 356 368 370 379 394 398
mutoh; 125 136 163 169 192 212 214 250 255 279 293 310 314 316 361 364 408
yamazaki; 126
masakatsu funaki; 127
saito; 128 154 163 262 890
vader; 128 175 179 184 192 197
hiroshi hase; 130 150 168 174 180 185 188 206 210 220 222 225 229 259 283
big van vader; 131 134 137 139 142 147 149 151 155 158 161 165 167 195 284
super strong machine; 132 230 250
chono; 136 162 163 169 214 250 262 297 309 310 314 316 319 375 397 402 408
hashimoto; 136 154 162 163 212 214 262 292 309 314 319
bam bam bigelow; 139 141 143 155 171
hiro saito; 146 260 289
naoki sano; 146 152 153 159 277
victor zangiev; 148
jushin liger; 150 306 307 313 337 867 903 991 1001 1016 1023 1032 1035 1065 1305 1310 1315 1323 1609 1841 1851 1855 1859 1861
salman hashimikov; 151
jushin 'thunder' liger; 152 153 157 159 170 173 178 189 193 205 224 234 239 243 247 277 281 287 303 312 327 330 334 339 382 391 451 501 645 704 736 744 749 754 763 777
iizuka; 154 204 215 291 1444 1456
owen hart; 156
akira nogami; 157
liger; 160 293 321 363 374 397 503 876 951 1043 1176 1182 1215 1361 1495 1690 1828
akira; 160 173 204 212 362
sano; 160 293 459
pegasus kid; 160 194
sakaguchi; 162
the road warriors; 166
the great muta; 168 183 186 207 217 219 221 245 296 304 343 350 414
hase; 169 192 215 250 255 361 364
sasaki; 169 310 314
dave finlay; 170
scott norton; 171 179 184 235 258 261 336
kensuke sasaki; 174 180 256 259 280 283 320 326 329 349 352 353 354 356 358 385 388
the steiner brothers; 174 180 186 197 208 225 255
bigelow; 175 192 197
butch reed; 175
ron simmons; 175
great muta; 176
sting; 176 186 206 254 314
ric flair; 177 266 270
norio honaga; 178 189 252 257
akitoshi saito; 190
masashi aoyagi; 191
el samurai; 193 204 241 251 290 306 307 313 317 318 321 362
tony halme; 195
rick rude; 199
steve austin; 200
tenryu; 201 202 212 215 218 267 335
kitahara; 201 202 204 888
ishikawa; 202 212 215
aoyagi; 202
genichiro tenryu; 203 209 222 228 233 237 295 331 341 349 892
orihara; 204
hirai; 204
